ComicType,page_id,name,urlslug,ID,ALIGN,EYE,HAIR,SEX,GSM,ALIVE,APPEARANCES,FIRST APPEARANCE,Year,APPEARANCES_R,,,
dc,403631,GenderTest,\/wiki\/GenderTest,Secret Identity,Good Characters,Blue Eyes,Blond Hair,Female Characters,straight,Living Characters,1028,"1956, October",1956,0.9923929413,,154532,103588
dc,401900,FerAlyce (New Earth),\/wiki\/FerAlyce_(New_Earth),Public Identity,Good Characters,Yellow Eyes,Black Hair,Female Characters,straight,Living Characters,6,"1993, January",1993,0.0057921767,,,
dc,401552,Marauder I (New Earth),\/wiki\/Marauder_I_(New_Earth),Secret Identity,Bad Characters,Green Eyes,Red Hair,Female Characters,straight,Deceased Characters,1,"1993, October",1993,0.0009653628,,,
dc,401440,Byakko (New Earth),\/wiki\/Byakko_(New_Earth),Secret Identity,Good Characters,Blue Eyes,White Hair,Female Characters,straight,Living Characters,4,"2002, March",2002,0.0038614511,,,
dc,391073,Tanya Fox (New Earth),\/wiki\/Tanya_Fox_(New_Earth),Public Identity,Good Characters,Brown Eyes,Black Hair,Female Characters,straight,Living Characters,6,"1990, January",1990,0.0057921767,,,
dc,386655,Takahata (New Earth),\/wiki\/Takahata_(New_Earth),Public Identity,Good Characters,Brown Eyes,Black Hair,Male Characters,straight,Living Characters,5,"2005, September",2005,0.0048268139,,,
dc,384026,Rafael Harris (New Earth),\/wiki\/Rafael_Harris_(New_Earth),Public Identity,Neutral Characters,Brown Eyes,Black Hair,Male Characters,straight,Living Characters,4,"1995, February",1995,0.0038614511,,,
dc,383399,Pyotr Raskov (New Earth),\/wiki\/Pyotr_Raskov_(New_Earth),Public Identity,Good Characters,Brown Eyes,Grey Hair,Male Characters,straight,Deceased Characters,6,"1991, July",1991,0.0057921767,,,
dc,383062,Marcia Long (New Earth),\/wiki\/Marcia_Long_(New_Earth),Public Identity,Good Characters,Brown Eyes,Brown Hair,Female Characters,straight,Living Characters,4,"1983, February",1983,0.0038614511,,,
dc,382843,Taryia (New Earth),\/wiki\/Taryia_(New_Earth),Public Identity,Good Characters,Green Eyes,Red Hair,Female Characters,straight,Living Characters,7,"1985, December",1985,0.0067575395,,,
dc,382835,Karras (New Earth),\/wiki\/Karras_(New_Earth),Public Identity,Good Characters,Green Eyes,Brown Hair,Male Characters,straight,Deceased Characters,27,"1985, July",1985,0.0260647952,,,
dc,382730,Amber II (New Earth),\/wiki\/Amber_II_(New_Earth),Secret Identity,Good Characters,Brown Eyes,Black Hair,Female Characters,straight,Living Characters,4,"1985, March",1985,0.0038614511,,,
dc,382097,Carl Woods (New Earth),\/wiki\/Carl_Woods_(New_Earth),Public Identity,Good Characters,Brown Eyes,Black Hair,Male Characters,straight,Living Characters,6,"1981, June",1981,0.0057921767,,,
dc,381480,Choi (New Earth),\/wiki\/Choi_(New_Earth),Public Identity,Bad Characters,Brown Eyes,Black Hair,Male Characters,straight,Living Characters,6,"1988, April",1988,0.0057921767,,,
dc,381462,Maxine Sterenbuch (New Earth),\/wiki\/Maxine_Sterenbuch_(New_Earth),Public Identity,Good Characters,Green Eyes,Brown Hair,Female Characters,straight,Living Characters,5,"1988, April",1988,0.0048268139,,,
dc,381460,Solomon Buchman (New Earth),\/wiki\/Solomon_Buchman_(New_Earth),Public Identity,Good Characters,Brown Eyes,Black Hair,Male Characters,straight,Living Characters,5,"1988, April",1988,0.0048268139,,,
dc,381458,Henry Cobb Armbruster (New Earth),\/wiki\/Henry_Cobb_Armbruster_(New_Earth),Public Identity,Bad Characters,Brown Eyes,Black Hair,Male Characters,straight,Living Characters,5,"1988, April",1988,0.0048268139,,,
dc,379743,Dakota Jamison (New Earth),\/wiki\/Dakota_Jamison_(New_Earth),Public Identity,Good Characters,Brown Eyes,Black Hair,Female Characters,straight,Living Characters,9,"2001, May",2001,0.0086882651,,,
dc,376533,Katina Leikos (New Earth),\/wiki\/Katina_Leikos_(New_Earth),Public Identity,Bad Characters,Brown Eyes,Black Hair,Female Characters,straight,Deceased Characters,6,"1988, July",1988,0.0057921767,,,
dc,375676,Margaret Mahoney (New Earth),\/wiki\/Margaret_Mahoney_(New_Earth),Public Identity,Good Characters,Green Eyes,Red Hair,Female Characters,straight,Deceased Characters,8,"2010, August",2010,0.0077229023,,,
dc,375674,Diana Lincoln (New Earth),\/wiki\/Diana_Lincoln_(New_Earth),Public Identity,Good Characters,Blue Eyes,Strawberry Blond Hair,Female Characters,straight,Living Characters,7,"2010, September",2010,0.0067575395,,,
dc,375524,Ewan McBane (New Earth),\/wiki\/Ewan_McBane_(New_Earth),Public Identity,Good Characters,Brown Eyes,Brown Hair,Male Characters,straight,Living Characters,13,"2009, June",2009,0.0125497162,,,
dc,374789,Amber (New Earth),\/wiki\/Amber_(New_Earth),Secret Identity,Good Characters,Gold Eyes,Red Hair,Female Characters,straight,Living Characters,3,"1987, December",1987,0.0028960884,,,
dc,374196,Ashiya (New Earth),\/wiki\/Ashiya_(New_Earth),Public Identity,Bad Characters,Blue Eyes,Black Hair,Female Characters,straight,Living Characters,8,"1978, January",1978,0.0077229023,,,
dc,374190,Alysha Grant (New Earth),\/wiki\/Alysha_Grant_(New_Earth),Public Identity,Good Characters,Blue Eyes,Blond Hair,Female Characters,straight,Living Characters,13,"2009, June",2009,0.0125497162,,,
dc,373970,Donal (New Earth),\/wiki\/Donal_(New_Earth),Public Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,straight,Deceased Characters,3,"1987, November",1987,0.0028960884,,,
dc,373968,Wrynn (New Earth),\/wiki\/Wrynn_(New_Earth),Public Identity,Bad Characters,Blue Eyes,Black Hair,Male Characters,straight,Deceased Characters,4,"1987, November",1987,0.0038614511,,,
dc,371551,Anne Pasquale (New Earth),\/wiki\/Anne_Pasquale_(New_Earth),Public Identity,Good Characters,Blue Eyes,Black Hair,Female Characters,straight,Living Characters,4,"1986, September",1986,0.0038614511,,,
dc,371046,Isabelle Modini (New Earth),\/wiki\/Isabelle_Modini_(New_Earth),Public Identity,Good Characters,Brown Eyes,Brown Hair,Female Characters,straight,Living Characters,3,"1993, May",1993,0.0028960884,,,
