ComicType,page_id,name,urlslug,ID,ALIGN,EYE,HAIR,SEX,GSM,ALIVE,APPEARANCES,FIRST APPEARANCE,Year,APPEARANCES_R,
marvel,1836,Human Torch (Android) (Earth-616),\/Human_Torch_(Android)_(Earth-616),Public Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,straight,Living Characters,548,Oct-39,1939,0.273367155,200463
marvel,1071,Thomas Halloway (Earth-616),\/Thomas_Halloway_(Earth-616),Public Identity,Good Characters,Brown Eyes,White Hair,Male Characters,straight,Living Characters,135,Oct-39,1939,0.0673440984,
marvel,1463,Dorma (Earth-616),\/Dorma_(Earth-616),No Dual Identity,Neutral Characters,Blue Eyes,Auburn Hair,Female Characters,straight,Deceased Characters,113,Oct-39,1939,0.0563695046,
marvel,11798,Phineas Horton (Earth-616),\/Phineas_Horton_(Earth-616),No Dual Identity,Good Characters,Blue Eyes,Brown Hair,Male Characters,straight,Deceased Characters,41,Oct-39,1939,0.0204526521,
marvel,237322,David Rand (Earth-616),\/David_Rand_(Earth-616),Public Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,straight,Living Characters,31,Oct-39,1939,0.0154642004,
marvel,282586,Zar (Earth-616),\/Zar_(Earth-616),No Dual Identity,Good Characters,Black Eyes,Brown Hair,Male Characters,straight,Living Characters,18,Oct-39,1939,0.0089792131,
marvel,237826,Jim Gardley (Earth-616),\/Jim_Gardley_(Earth-616),Secret Identity,Good Characters,Blue Eyes,Black Hair,Male Characters,straight,Living Characters,15,Oct-39,1939,0.0074826776,
marvel,282489,Ken Masters (Earth-616),\/Ken_Masters_(Earth-616),No Dual Identity,Good Characters,Brown Eyes,Brown Hair,Male Characters,straight,Living Characters,3,Oct-39,1939,0.0014965355,
marvel,2487,Thomas Raymond (Earth-616),\/Thomas_Raymond_(Earth-616),Secret Identity,Good Characters,Blue Eyes,Black Hair,Male Characters,straight,Living Characters,373,Sep-40,1940,0.1860692497,
marvel,101355,Adolf Hitler (Earth-616),\/Adolf_Hitler_(Earth-616),No Dual Identity,Bad Characters,Brown Eyes,Brown Hair,Male Characters,straight,Deceased Characters,145,Sep-40,1940,0.0723325501,
marvel,10309,Jeffrey Mace (Earth-616),\/Jeffrey_Mace_(Earth-616),Secret Identity,Good Characters,Blue Eyes,Black Hair,Male Characters,straight,Deceased Characters,139,Dec-40,1940,0.0693394791,
marvel,2088,Makkari (Earth-616),\/Makkari_(Earth-616),Secret Identity,Good Characters,Blue Eyes,Strawberry Blond Hair,Male Characters,straight,Living Characters,131,Aug-40,1940,0.0653487177,
marvel,16003,Betty Dean (Earth-616),\/Betty_Dean_(Earth-616),No Dual Identity,Good Characters,Blue Eyes,White Hair,Female Characters,straight,Deceased Characters,127,Jan-40,1940,0.063353337,
marvel,72375,Azura (Earth-616),\/Azura_(Earth-616),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Female Characters,straight,Living Characters,95,Aug-40,1940,0.0473902915,
marvel,5557,Aarkus (Earth-616),\/Aarkus_(Earth-616),Secret Identity,Good Characters,White Eyes,No Hair,Male Characters,straight,Living Characters,72,Nov-40,1940,0.0359168525,
marvel,1944,Kro (Earth-616),\/Kro_(Earth-616),Secret Identity,Bad Characters,Red Eyes,Bald,Male Characters,straight,Living Characters,59,Aug-40,1940,0.0294318652,
marvel,1552,Zuras (Earth-616),\/Zuras_(Earth-616),No Dual Identity,Good Characters,Blue Eyes,Red Hair,Male Characters,straight,Deceased Characters,52,Aug-40,1940,0.025939949,
marvel,282579,Terry Vance (Earth-616),\/Terry_Vance_(Earth-616),Public Identity,Good Characters,Blue Eyes,Auburn Hair,Male Characters,straight,Living Characters,50,Aug-40,1940,0.0249422587,
marvel,282450,Raymond Dawson (Earth-616),\/Raymond_Dawson_(Earth-616),Public Identity,Good Characters,Brown Eyes,Black Hair,Male Characters,straight,Living Characters,49,Sep-40,1940,0.0244434135,
marvel,2341,Red Raven (Liberty Legion) (Earth-616),\/Red_Raven_(Liberty_Legion)_(Earth-616),Secret Identity,Good Characters,Blue Eyes,Red Hair,Male Characters,straight,Deceased Characters,43,Aug-40,1940,0.0214503425,
marvel,7341,Claire Voyant (Earth-616),\/Claire_Voyant_(Earth-616),Secret Identity,Neutral Characters,Black Eyes,Blond Hair,Female Characters,straight,Living Characters,25,Aug-40,1940,0.0124711293,
marvel,76259,Jack Castle (Earth-616),\/Jack_Castle_(Earth-616),Secret Identity,Good Characters,Hazel Eyes,Blond Hair,Male Characters,straight,Deceased Characters,20,Jan-40,1940,0.0099769035,
marvel,282590,Philo Zogolowski (Earth-616),\/Philo_Zogolowski_(Earth-616),Public Identity,Good Characters,Brown Eyes,Brown Hair,Male Characters,straight,Deceased Characters,20,Feb-40,1940,0.0099769035,
marvel,76260,Dennis Burton (Earth-616),\/Dennis_Burton_(Earth-616),Secret Identity,Good Characters,Brown Eyes,Brown Hair,Male Characters,straight,Living Characters,19,Feb-40,1940,0.0094780583,
marvel,76262,Richard Jones (Phantom Reporter) (Earth-616),\/Richard_Jones_(Phantom_Reporter)_(Earth-616),Secret Identity,Good Characters,Blue Eyes,Red Hair,Male Characters,straight,Living Characters,19,Apr-40,1940,0.0094780583,
marvel,18310,Dynamic Man (Earth-616),\/Dynamic_Man_(Earth-616),Secret Identity,Bad Characters,Blue Eyes,Blond Hair,Male Characters,straight,Deceased Characters,18,Mar-40,1940,0.0089792131,
marvel,282561,John Steele (American Soldier) (Earth-616),\/John_Steele_(American_Soldier)_(Earth-616),No Dual Identity,Good Characters,Brown Eyes,Black Hair,Male Characters,straight,Deceased Characters,18,Jan-40,1940,0.0089792131,
marvel,76266,Earl Everett (Earth-616),\/Earl_Everett_(Earth-616),Secret Identity,Good Characters,Brown Eyes,Brown Hair,Male Characters,straight,Living Characters,17,Apr-40,1940,0.0084803679,
marvel,2391,Valkin (Earth-616),\/Valkin_(Earth-616),Secret Identity,Good Characters,Blue Eyes,Black Hair,Male Characters,straight,Living Characters,17,Aug-40,1940,0.0084803679,
marvel,76263,Victor Jay (Earth-616),\/Victor_Jay_(Earth-616),Secret Identity,Good Characters,Brown Eyes,Brown Hair,Male Characters,straight,Living Characters,15,Feb-40,1940,0.0074826776,
marvel,237494,Leslie Lenrow (Earth-616),\/Leslie_Lenrow_(Earth-616),Secret Identity,Good Characters,Blue Eyes,Black Hair,Male Characters,straight,Deceased Characters,11,Feb-40,1940,0.0054872969,
marvel,282545,Luther Robinson (Earth-616),\/Luther_Robinson_(Earth-616),Public Identity,Good Characters,Brown Eyes,Brown Hair,Male Characters,straight,Living Characters,11,Aug-40,1940,0.0054872969,
marvel,282476,Lynne Harris (Earth-616),\/Lynne_Harris_(Earth-616),Public Identity,Good Characters,Blue Eyes,Blond Hair,Female Characters,straight,Living Characters,11,Aug-40,1940,0.0054872969,
marvel,86059,Leonard Gade (Earth-616),\/Leonard_Gade_(Earth-616),Secret Identity,Good Characters,Blue Eyes,Brown Hair,Male Characters,straight,Living Characters,9,Apr-40,1940,0.0044896066,
marvel,237816,Merzah (Earth-616),\/Merzah_(Earth-616),Secret Identity,Good Characters,Green Eyes,Grey Hair,Male Characters,straight,Deceased Characters,9,Aug-40,1940,0.0044896066,
marvel,18328,Dakor (Earth-616),\/Dakor_(Earth-616),Public Identity,Good Characters,Brown Eyes,Brown Hair,Male Characters,straight,Living Characters,7,Mar-40,1940,0.0034919162,
marvel,282583,John Wilson (Golden Age) (Earth-616),\/John_Wilson_(Golden_Age)_(Earth-616),No Dual Identity,Good Characters,Brown Eyes,Grey Hair,Male Characters,straight,Living Characters,7,Jan-40,1940,0.0034919162,
marvel,237805,Monako (Earth-616),\/Monako_(Earth-616),Secret Identity,Good Characters,Black Eyes,Black Hair,Male Characters,straight,Living Characters,7,Jan-40,1940,0.0034919162,
marvel,282564,Robert Strong (Earth-616),\/Robert_Strong_(Earth-616),Public Identity,Good Characters,Blue Eyes,Red Hair,Male Characters,straight,Living Characters,7,Apr-40,1940,0.0034919162,
marvel,237482,Lagaro (Earth-616),\/Lagaro_(Earth-616),Secret Identity,Good Characters,Brown Eyes,Brown Hair,Male Characters,straight,Deceased Characters,6,Sep-40,1940,0.002993071,
marvel,57939,Spencer Keen (Earth-616),\/Spencer_Keen_(Earth-616),Secret Identity,Good Characters,Blue Eyes,Black Hair,Male Characters,straight,Living Characters,6,Mar-40,1940,0.002993071,
marvel,282468,Robert Foster (Earth-616),\/Robert_Foster_(Earth-616),Public Identity,Good Characters,Blue Eyes,Red Hair,Male Characters,straight,Living Characters,5,Jan-40,1940,0.0024942259,
marvel,282575,Trojak (Earth-616),\/Trojak_(Earth-616),Secret Identity,Good Characters,Brown Eyes,Brown Hair,Male Characters,straight,Living Characters,5,Feb-40,1940,0.0024942259,
marvel,237927,Allan Lewis (Earth-616),\/Allan_Lewis_(Earth-616),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,straight,Deceased Characters,4,Feb-40,1940,0.0019953807,
marvel,282467,Benjamin Ruff (Earth-616),\/Benjamin_Ruff_(Earth-616),Secret Identity,Good Characters,Blue Eyes,Red Hair,Male Characters,straight,Living Characters,4,Sep-40,1940,0.0019953807,
marvel,13132,Bruce Bravelle (Earth-616),\/Bruce_Bravelle_(Earth-616),Secret Identity,Good Characters,Brown Eyes,Brown Hair,Male Characters,straight,Living Characters,4,Aug-40,1940,0.0019953807,
marvel,346786,Khufor (Earth-616),\/Khufor_(Earth-616),Public Identity,Bad Characters,Blue Eyes,No Hair,Male Characters,straight,Living Characters,4,Sep-40,1940,0.0019953807,
marvel,260411,Martin Simon Burns (Earth-616),\/Martin_Simon_Burns_(Earth-616),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,straight,Living Characters,4,Sep-40,1940,0.0019953807,
marvel,282525,Muro (Earth-616),\/Muro_(Earth-616),Public Identity,Bad Characters,Black Eyes,Black Hair,Male Characters,straight,Living Characters,4,Jan-40,1940,0.0019953807,
marvel,237560,Varen David (Earth-616),\/Varen_David_(Earth-616),Public Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,straight,Living Characters,4,Jun-40,1940,0.0019953807,
marvel,239070,Zara of the Jungle (Earth-616),\/Zara_of_the_Jungle_(Earth-616),Secret Identity,Good Characters,Blue Eyes,Black Hair,Female Characters,straight,Living Characters,4,Apr-40,1940,0.0019953807,
marvel,76271,Zephyrus Jones (Earth-616),\/Zephyrus_Jones_(Earth-616),Public Identity,Good Characters,Green Eyes,Auburn Hair,Male Characters,straight,Living Characters,4,Feb-40,1940,0.0019953807,
