ComicType,Characters,Dim1,Dim2,x1,y1
marvel,Spider-Man (Peter Parker),0.267844686,0.1997529751,,
marvel,Captain America (Steven Rogers),0.2568666087,0.2066846158,,
dc,Batman (Bruce Wayne),0.274068613,0.2178855622,,
marvel,"Wolverine (James \""Logan\"" Howlett)",0.2388923203,0.2858994074,,
marvel,"Iron Man (Anthony \""Tony\"" Stark)",0.2684187232,0.2263767395,,
dc,Superman (Clark Kent),0.27335642,0.2208080321,,
marvel,Thor (Thor Odinson),0.2629275326,0.2344533948,,
marvel,Benjamin Grimm (Earth-616),0.2646425291,0.2186156957,,
marvel,Reed Richards (Earth-616),0.26722886,0.2215330701,,
marvel,Hulk (Robert Bruce Banner),0.267341862,0.2215084055,,
marvel,Scott Summers (Earth-616),0.2403320841,0.2774905645,,
marvel,Jonathan Storm (Earth-616),0.2691727734,0.2263825318,,
marvel,Henry McCoy (Earth-616),0.2678575731,0.2270199831,,
marvel,Susan Storm (Earth-616),0.1574552078,0.9522633232,,
dc,Green Lantern (Hal Jordan),0.2737050112,0.2136075437,,
marvel,Ororo Munroe (Earth-616),0.1474377192,0.9336930666,5,5
marvel,Clinton Barton (Earth-616),0.2698345319,0.2268941608,,
marvel,Matthew Murdock (Earth-616),0.263260813,0.2146713898,,
dc,James Gordon (New Earth),0.2589996103,0.2052262595,,
marvel,Stephen Strange (Earth-616),0.2641219663,0.2219988099,,
marvel,Mary Jane Watson (Earth-616),0.1433555567,0.9400819978,,
marvel,John Jonah Jameson (Earth-616),0.2394425022,0.2893174065,,
marvel,Robert Drake (Earth-616),0.2718599315,0.2174067846,,
dc,Richard Grayson (New Earth),0.2763586209,0.2196267097,,
marvel,Henry Pym (Earth-616),0.2700302464,0.2270375887,,
marvel,Charles Xavier (Earth-616),1.2510639493,0.3978560034,5,10
dc,Wonder Woman (Diana Prince),0.1585794897,0.9536271014,5,15
marvel,Warren Worthington III (Earth-616),0.2700893925,0.2269671376,,
marvel,Piotr Rasputin (Earth-616),0.276435616,0.2197693205,,
marvel,Wanda Maximoff (Earth-616),0.1549634807,0.942297734,,
marvel,Nicholas Fury (Earth-616),0.2373623675,0.2836884307,,
